Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
Gerak Malaysia,Malaysia,https://www.gerakmalaysia.gov.my/,yes,yes,no,no,no,no,unknown,no,no,yes,yes,both,no,unknown,no,no,gps,no,none,"1,000,000",3.3,WPRO,released,2020-04-12,
COVIDTrace,Malaysia,https://play.google.com/store/apps/details?id=com.sains.safetrace&hl=en_US,yes,no,14 days,yes,yes,yes,yes,no,no,yes,yes,both,yes,yes,no,yes,ble + qr code,yes,none,"50,000",3.3,WPRO,released,2020-05-05,
MySejahtera,Malaysia,https://mysejahtera.malaysia.gov.my/intro_en/,yes,no,no,yes,yes,unknown,no,no,no,yes,yes,both,no,yes,no,no,gps + qr code,unknown,none,"1,000,000",4.7,SEARO,released,2020-03-27,
COVID Alert Malta,Malta,https://covidalert.gov.mt/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,DP3T,"50,000",4.3,EURO,released,2020-09-02,
CovidRadar,Mexico,http://covidradar.mx/,yes,no,unknown,yes,yes,unknown,unknown,yes,no,yes,yes,both,unknown,unknown,unknown,unknown,ble,unknown,none,,,LATAM,released,2020-04-19,
Wiqaytna,Morocco,https://www.wiqaytna.ma/Default_Fr.aspx,yes,yes,21 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,none,"1,000,000",4.3,EMRO,released,2020-05-31,
PrivateTracer,Netherlands,https://www.privatetracer.org/,no,unknown,unknown,yes,yes,yes,yes,no,yes,no,yes,both,yes,yes,yes,yes,ble,unknown,DP3T,,,EURO,cancelled,,
CoronaMelder,Netherlands,https://www.coronamelder.nl/en/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",3.0,EURO,released,2020-08-15,
NZ COVID Tracer,New Zealand,https://tracing.covid19.govt.nz/,yes,unknown,31 days,yes,yes,unknown,yes,no,no,yes,yes,both,yes,yes,no,na,qr code,yes,none,"100,000",2.2,WPRO,released,2020-05-20,
StopKorona!,North Macedonia,https://stop.koronavirus.gov.mk/,yes,no,14 days,yes,yes,yes,yes,no,no,yes,yes,both,yes,yes,no,no,ble,yes,none,"50,000",3.1,EURO,released,2020-04-12,
StopCOVID NI,Northern Ireland,https://covid-19.hscni.net/stop-covid-ni-mobile-app/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.3,EURO,released,2020-07-28,
Smittestopp,Norway,https://helsenorge.no/smittestopp,yes,yes,30 days,yes,yes,yes,no (modelling),no,no,yes,yes,both,no,yes,no,no,ble + gps,yes,none,"100,000",2.2,EURO,released,2020-04-16,
PeruEnTusManos,Peru,https://play.google.com/store/apps/details?id=peruentusmanos.gob.pe,yes,no,14 days,yes,yes,unknown,no,no,no,no,yes,both,no,unknown,no,unknown,ble + gps,no (self-diagnosis),none,"1,000,000",2.9,LATAM,released,2020-04-03,
"
StaySafe PH",Philippines,https://www.staysafe.ph/,no,no,no,yes,yes,unknown,no (modelling),no,no,yes,yes,both,no,maybe,no,no,gps,unknown,none,"100,000",3.9,WPRO,released,2020-05-04,
ENDCoV,Philippines,https://endcov.org/,no,no,unknown,yes,yes,unknown,no (heatmap),no,no,yes,yes,android only,no,unknown,unknown,na,gps,unknown,none,"5,000",3.8,WPRO,released,2020-03-27,
